x,y,count
70,163,1
70,163,1
70,163,1
70,163,1
70,163,1
70,163,1
70,163,1
70,163,1
70,163,1
70,163,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
120,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
120,152,1
121,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
120,152,1
121,152,1
125,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
120,152,1
121,152,1
125,152,1
126,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
120,152,1
121,152,1
125,152,1
126,152,1
131,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
120,152,1
121,152,1
125,152,1
126,152,1
131,152,1
133,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
120,152,1
121,152,1
125,152,1
126,152,1
131,152,1
133,152,1
137,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
120,152,1
121,152,1
125,152,1
126,152,1
131,152,1
133,152,1
137,152,1
139,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
120,152,1
121,152,1
125,152,1
126,152,1
131,152,1
133,152,1
137,152,1
139,152,1
141,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
120,152,1
121,152,1
125,152,1
126,152,1
131,152,1
133,152,1
137,152,1
139,152,1
141,152,1
142,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
120,152,1
121,152,1
125,152,1
126,152,1
131,152,1
133,152,1
137,152,1
139,152,1
141,152,1
142,152,1
144,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
107,153,1
112,152,1
113,152,1
113,152,1
116,152,1
117,152,1
120,152,1
121,152,1
125,152,1
126,152,1
131,152,1
133,152,1
137,152,1
139,152,1
141,152,1
142,152,1
144,152,1
144,152,1
70,163,1
70,163,1
70,163,1
70,163,1
71,163,1
71,163,1
72,163,1
73,163,1
75,163,1
75,163,1
78,162,1
79,161,1
84,159,1
86,158,1
88,158,1
90,157,1
92,157,1
94,156,1
97,155,1
102,154,1
104,154,1
